City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pisco,PE,-13.7,-76.2167,75.2,69,0,11.5,clear sky
1,Vila Franca Do Campo,PT,37.7167,-25.4333,57.0,67,40,11.5,scattered clouds
2,Purpe,RU,64.4803,76.6897,-13.9,90,100,7.02,overcast clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,74,0,8.05,clear sky
4,Busselton,AU,-33.65,115.3333,59.0,75,100,1.99,overcast clouds
5,Ponta Do Sol,PT,32.6667,-17.1,52.0,66,28,3.0,scattered clouds
6,Bredasdorp,ZA,-34.5322,20.0403,68.0,83,30,2.3,scattered clouds
7,Atuona,PF,-9.8,-139.0333,79.52,80,11,16.8,few clouds
8,Paamiut,GL,61.994,-49.6678,21.07,78,0,9.71,clear sky
9,Bambanglipuro,ID,-7.95,110.2833,76.05,87,100,3.58,overcast clouds
10,Saint George,US,37.1041,-113.5841,50.0,33,1,3.27,clear sky
11,Mar Del Plata,AR,-38.0023,-57.5575,75.2,46,0,6.91,clear sky
12,Talcahuano,CL,-36.7167,-73.1167,62.6,82,90,11.5,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,50.0,62,75,27.63,broken clouds
14,Nigde,TR,37.8333,34.75,33.57,89,0,1.97,clear sky
15,Vaini,TO,-21.2,-175.2,77.0,100,40,1.14,moderate rain
16,Korla,CN,41.7597,86.1469,27.43,83,0,2.37,clear sky
17,Chicama,PE,-7.8447,-79.1469,71.6,83,11,11.5,few clouds
18,Izhma,RU,65.0083,53.9113,-10.82,89,100,8.37,overcast clouds
19,Avarua,CK,-21.2078,-159.775,82.4,74,93,5.75,overcast clouds
20,Nelson Bay,AU,-32.7167,152.15,73.0,78,98,8.05,overcast clouds
21,Coihaique,CL,-45.5752,-72.0662,84.2,34,0,6.91,clear sky
22,Karak,JO,31.1667,35.75,53.6,94,40,5.75,mist
23,Sitka,US,57.0531,-135.33,35.6,93,90,4.61,overcast clouds
24,Sinnamary,GF,5.3833,-52.95,78.84,83,72,13.87,broken clouds
25,Saint Anthony,US,45.0205,-93.218,10.99,61,75,20.71,broken clouds
26,Laguna,US,38.421,-121.4238,57.0,58,1,3.44,clear sky
27,Yellowknife,CA,62.456,-114.3525,-31.0,68,1,11.5,clear sky
28,Kapaa,US,22.0752,-159.319,66.2,68,75,4.61,broken clouds
29,Albany,US,42.6001,-73.9662,42.01,57,81,6.02,broken clouds
30,Berlevag,NO,70.8578,29.0864,30.2,59,75,27.63,snow
